Thresholds	PosteriorCI_pathogenic	PosteriorCI_benign
0.137	0.0013	0.9962
0.136	0.0014	0.9959
0.135	0.0014	0.9960
0.134	0.0014	0.9961
0.133	0.0013	0.9963
0.132	0.0014	0.9962
0.131	0.0013	0.9963
0.130	0.0013	0.9963
0.129	0.0012	0.9965
0.128	0.0013	0.9962
0.127	0.0017	0.9957
0.126	0.0020	0.9951
0.125	0.0017	0.9955
0.124	0.0017	0.9956
0.123	0.0020	0.9952
0.122	0.0019	0.9954
0.121	0.0019	0.9953
0.120	0.0018	0.9956
0.119	0.0018	0.9955
0.118	0.0015	0.9959
0.117	0.0015	0.9961
0.116	0.0014	0.9961
0.115	0.0016	0.9959
0.114	0.0017	0.9955
0.113	0.0014	0.9961
0.112	0.0013	0.9964
0.111	0.0013	0.9963
0.110	0.0014	0.9962
0.109	0.0016	0.9959
0.108	0.0014	0.9960
0.107	0.0016	0.9957
0.106	0.0013	0.9959
0.105	0.0014	0.9958
0.104	0.0016	0.9955
0.103	0.0018	0.9949
0.102	0.0017	0.9953
0.101	0.0015	0.9954
0.100	0.0014	0.9957
0.099	0.0019	0.9949
0.098	0.0022	0.9946
0.097	0.0015	0.9957
0.096	0.0016	0.9956
0.095	0.0014	0.9960
0.094	0.0014	0.9960
0.093	0.0013	0.9962
0.092	0.0014	0.9960
0.091	0.0016	0.9959
0.090	0.0014	0.9961
0.089	0.0015	0.9960
0.088	0.0014	0.9962
0.087	0.0014	0.9962
0.086	0.0012	0.9964
0.085	0.0008	0.9973
0.084	0.0009	0.9970
0.083	0.0009	0.9970
0.082	0.0011	0.9967
0.081	0.0012	0.9965
0.080	0.0012	0.9964
0.079	0.0011	0.9967
0.078	0.0010	0.9967
0.077	0.0012	0.9966
0.076	0.0012	0.9966
0.075	0.0012	0.9966
0.074	0.0011	0.9965
0.073	0.0012	0.9963
0.072	0.0012	0.9965
0.071	0.0009	0.9969
0.070	0.0009	0.9970
0.069	0.0008	0.9971
0.068	0.0006	0.9975
0.067	0.0007	0.9974
0.066	0.0009	0.9971
0.065	0.0010	0.9969
0.064	0.0008	0.9974
0.063	0.0009	0.9970
0.062	0.0008	0.9972
0.061	0.0008	0.9972
0.060	0.0008	0.9972
0.059	0.0009	0.9971
0.058	0.0010	0.9970
0.057	0.0010	0.9970
0.056	0.0015	0.9962
0.055	0.0014	0.9960
0.054	0.0012	0.9963
0.053	0.0011	0.9967
0.052	0.0010	0.9968
0.051	0.0008	0.9972
0.050	0.0008	0.9972
0.049	0.0008	0.9973
0.048	0.0009	0.9973
0.047	0.0008	0.9973
0.046	0.0004	0.9979
0.045	0.0005	0.9979
0.044	0.0002	0.9989
0.043	0.0002	0.9990
0.042	0.0002	0.9990
0.041	0.0000	0.9993
0.040	0.0000	0.9991
0.039	0.0000	0.9991
0.038	0.0000	0.9991
0.037	0.0001	0.9990
0.036	0.0002	0.9989
0.035	0.0002	0.9989
0.034	0.0002	0.9988
0.033	0.0000	0.9991
0.032	0.0000	0.9991
0.031	0.0000	0.9991
0.030	0.0001	0.9989
0.029	0.0002	0.9989
0.028	0.0002	0.9989
0.027	0.0002	0.9986
0.026	0.0002	0.9986
0.025	0.0002	0.9984
0.024	0.0002	0.9987
0.023	0.0002	0.9987
0.022	0.0000	0.9988
0.021	0.0000	0.9988
0.020	0.0000	0.9987
0.019	0.0000	0.9988
0.018	0.0000	0.9987
0.017	0.0000	0.9986
0.016	0.0000	0.9987
0.015	0.0000	0.9990
0.014	0.0000	0.9989
0.013	0.0000	0.9990
0.012	0.0000	0.9989
0.011	0.0000	0.9989
0.010	0.0000	0.9989
0.009	0.0000	0.9992
0.008	0.0000	0.9992
